沾污,玷汙
沾辱,玷辱
泛濫,氾濫
浚深,濬深
涅盤,涅槃
涼席,涼蓆
淀粉,澱粉
淒息,棲息
淒戚,悽慼
淬厲,淬礪
淳朴,淳樸
混肴,混淆
清淅,清晰
湯團,湯糰
溜達,溜躂
溪壑,谿壑
溶岩,熔岩
溶接,熔接
溶爐,熔爐
溶銷,熔銷
溶鑄,熔鑄
漓水,灕水
漓江,灕江
漓湘,灕湘
潦闊,遼闊
濃纖,穠纖
濫芋充數,濫竽充數
灸熱,炙熱
炸毀,炸燬
烏丘,烏坵
焊接,銲接
焚毀,焚燬
煉子,鍊子
煉鎖,鍊鎖
熒光,螢光
熒屏,螢屏
熒幕,螢幕
熔毀,熔燬
燒毀,燒燬
犁牛,犛牛
猷豫,猶豫
玉佩,玉珮
玲朧,玲瓏
球果,毬果
琅嬛,瑯嬛
琳琅,琳瑯
琺琅,琺瑯
瑞哲,睿哲
瑞智,睿智
璀燦,璀璨
璨爛,燦爛
環佩,環珮
甘乃迪,甘迺迪
甘薯,甘藷
甲胄,甲冑
畛懷,軫懷
番薯,蕃薯
疆弩之末,彊弩之末
疏浚,疏濬
疔傷,療傷
病入膏盲,病入膏肓
症結,癥結
痙孿,痙攣
白淅,白皙
白澈,白皙
盍然,溘然
盍盍,溘溘
盍謝,溘謝
盍逝,溘逝
盤涅,槃涅
目定口呆,目瞪口呆
相形見拙,相形見絀
眈誤,耽誤
真知卓見,真知灼見
真締,真諦
眩耀,炫耀
眼框,眼眶
瞌然長逝,溘然長逝
磋跎,蹉跎
神佑,神祐
神祗,神祇
禁若寒蟬,噤若寒蟬
秋千,鞦韆
租貸,租賃
秤鎚,秤錘
種師中,种師中
種師道,种師道
種放,种放
稽康,嵇康
積淀,積澱
窣悉,窣窸
竹席,竹蓆
竹框,竹筐
竹荀,竹筍
竹藤,竹籐
竽頭,芋頭
笆蕉,芭蕉
笑容可鞠,笑容可掬
笑訥,笑納
笑魘,笑靨
符錄,符籙
等侯,等候
筍況,荀況
篾簞,篾簟
簡朴,簡樸
簫條,蕭條
籍口,藉口
籮卜,蘿蔔
粗朴,粗樸
糊口,餬口
糟塌,糟蹋
糟達,蹧躂
糟遢,糟蹋
紈絝,紈袴
純朴,純樸
素朴,素樸
紡鎚,紡錘
累累,纍纍
綢密,稠密
編篡,編纂
緲茫,渺茫
縫紝,縫紉
纂位,篡位
缺舌,鴃舌
罔然,惘然
罔罔,惘惘
羈拌,羈絆
羞赦,羞赧
老板,老闆
老麼,老么
耐心細緻,耐心細緻
耕獲,耕穫
聊天,聊天
肆業,肄業
肝髒,肝臟
肢体,肢體
肴撰,餚饌
肺髒,肺臟
胃髒,胃臟
胰髒,胰臟
脺髒,脺臟
脾髒,脾臟
腎髒,腎臟
腑髒,腑臟
腳煉,腳鍊
腸髒,腸臟
膺品,贗品
膽戰,膽顫
舄湖,潟湖
舞娘,舞孃
舟揖,舟楫
舶船,泊船
船漿,船槳
船纖,船縴
船蓬,船篷
英尺,英呎
茅蘆,茅廬
茶毒,荼毒
草席,草蓆
草管人命,草菅人命
荊朴,荊璞
莫明其妙,莫名其妙
菜肴,菜餚
蒲席,蒲蓆
藤條,籐條
藤椅,籐椅
蘊釀,醞釀
蘿卜,蘿蔔
處高務遠,處高鶩遠
蛩音,跫音
蝨目,虱目
蟹螫,蟹螯
行屍,行尸
衣驅,衣袪
衫畢挺,衫筆挺
被褥,被縟
裊雄,梟雄
裙擺,裙襬
裝璜,裝潢
裹屍,裹尸
褻讀,褻瀆
襁保,襁褓
襤縷,襤褸
西裝畢挺,西裝筆挺
規划,規劃
規模,規模
觴子,殤子
評擊,抨擊
誇父,夸父
誇爾,夸爾
誇特,夸特
誇脫,夸脫
誠朴,誠樸
誣蔑,誣衊
諸候,諸侯
譁啦,嘩啦
譁喇,嘩喇
譁的一聲,嘩的一聲
譁譁,嘩嘩
警剔,警惕
讖悔,懺悔
豁壑,谿壑
豆蔻,荳蔻
豆鼓,豆豉
貝胄,貝冑
質朴,質樸
赤坎,赤崁
趨之若務,趨之若鶩
跖骨,蹠骨
跟蹌,踉蹌
踐道,棧道
踢踏舞,踢躂舞
蹉陀,蹉跎
蹣頇,顢頇
身分,身份
躬敬,恭敬
軔性,韌性
軫域,畛域
輕挑,輕佻
輕篾,輕蔑
轉寰,轉圜
轉戾點,轉捩點
農獲,農穫
迥廊,迴廊
迥避,迴避
迷罔,迷惘
迻邐,迆邐
追朔,追溯
追根究抵,追根究柢
追謚,追諡
通浚,通濬
通諜,通牒
通輯,通緝
連抉,連袂
連絡,聯絡
